term_name,term_start_date,term_end_date,registration_url,campus_area,weekday,class_name,time_range_text,start_time_local,end_time_local,studio,class_description
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Mon,Yoga,"8:00am -
      8:45am",8:00am,8:45am,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Mon,Yoga,"12:00pm -
      12:45pm",12:00pm,12:45pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Mon,Scottie Sound Bath,"12:15pm -
      12:45pm",12:15pm,12:45pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Mon,Abs & Glutes,"5:15pm -
      6:15pm",5:15pm,6:15pm,Noll Studio,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Mon,Barre,"5:30pm -
      6:30pm",5:30pm,6:30pm,Noll Studio,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Mon,Pilates,"5:45pm -
      6:45pm",5:45pm,6:45pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Tue,Human Reformer (Pilates),"12:30pm -
      1:15pm",12:30pm,1:15pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Tue,Jazz,"4:00pm -
      5:00pm",4:00pm,5:00pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Tue,Kickboxing,"5:15pm -
      6:15pm",5:15pm,6:15pm,Noll Studio,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Tue,Hip Hop,"5:15pm -
      6:15pm",5:15pm,6:15pm,Noll Studio,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Tue,Barre,"5:30pm -
      6:30pm",5:30pm,6:30pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Tue,Full Body Strength,"6:30pm -
      7:30pm",6:30pm,7:30pm,Studio A. Kenner,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Tue,Zumba,"6:45pm -
      7:45pm",6:45pm,7:45pm,Studio A. Kenner,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Tue,Scottie Sound Bath,"6:45pm -
      7:30pm",6:45pm,7:30pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Wed,Indoor Cycling,"11:30am -
      12:00pm",11:30am,12:00pm,,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Wed,Yoga,"12:00pm -
      12:50pm",12:00pm,12:50pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Wed,Jazz,"4:00pm -
      5:00pm",4:00pm,5:00pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Wed,Cardio Barre,"4:30pm -
      5:30pm",4:30pm,5:30pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Wed,Full Body Strength,"5:15pm -
      6:15pm",5:15pm,6:15pm,Studio A. Kenner,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Wed,Zumba,"5:15pm -
      6:00pm",5:15pm,6:00pm,Noll Studio,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Wed,Scottie Sound Bath,"6:00pm -
      6:45pm",6:00pm,6:45pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Wed,Hip Hop,"7:00pm -
      8:00pm",7:00pm,8:00pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Wed,Yoga and Relax,"7:15pm -
      8:00pm",7:15pm,8:00pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Thu,Barre & Pilates Fusion,"12:00pm -
      1:00pm",12:00pm,1:00pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Thu,Yoga,"4:45pm -
      5:45pm",4:45pm,5:45pm,Noll Studio,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Thu,Hip Hop,"5:15pm -
      6:15pm",5:15pm,6:15pm,Studio A. Kenner,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Thu,Boot Camp,"5:15pm -
      6:15pm",5:15pm,6:15pm,Studio A. Kenner,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Thu,Scottie Sound Bath,"6:15pm -
      7:00pm",6:15pm,7:00pm,Noll Studio,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Thu,Yoga,"6:30pm -
      7:30pm",6:30pm,7:30pm,Noll Studio,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Thu,Jazz,"7:00pm -
      8:00pm",7:00pm,8:00pm,Studio A. Kenner,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Fri,Cardio Barre,"11:45am -
      12:30pm",11:45am,12:30pm,Keeler,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Fri,Power Yoga,"12:00pm -
      12:50pm",12:00pm,12:50pm,Studio A. Kenner,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Fri,Pilates,"12:00pm -
      12:50pm",12:00pm,12:50pm,Studio A. Kenner,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Sat,Hatha Yoga,"9:15am -
      10:15am",9:15am,10:15am,,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Sat,Indoor Cycling,"9:30am -
      10:15am",9:30am,10:15am,,
Fall Mini 1 2025,2025-08-25,2025-10-11,https://cmu.dserec.com/online/cr/programs/1/program-classes-weekly-view,CUC,Sat,Power Yoga,"10:30am -
      11:30am",10:30am,11:30am,Studio A. Kenner,
